x,y,latitude,transparen,longitude,fid,station_vi,visit_date,color_id
24.2334,57.5833,57.583300000000001,5.600000000000000,24.233400000000000,5214,212189.0,2012/05/03 09:30:00.000,11.0
23.4024,57.6021,57.602100000000000,5.800000000000000,23.402400000000000,5215,212192.0,2012/05/03 10:17:00.000,9.0
24.3,57.4667,57.466700000000003,4.800000000000000,24.300000000000001,5216,212195.0,2012/05/03 10:58:00.000,11.0
22.9833,57.5667,57.566699999999997,5.200000000000000,22.983300000000000,5217,212197.0,2012/05/03 11:25:00.000,11.0
24.0017,57.0833,57.083300000000001,1.000000000000000,24.001700000000000,5218,212198.0,2012/05/14 11:05:00.000,21.0
23.92,57.025,57.024999999999999,1.000000000000000,23.920000000000002,5219,212199.0,2012/05/14 13:05:00.000,21.0
23.8883,57.055,57.055000000000000,1.200000000000000,23.888300000000001,5220,212200.0,2012/05/14 14:15:00.000,13.0
23.7433,56.98,56.979999999999997,1.500000000000000,23.743300000000001,5221,212201.0,2012/05/14 16:15:00.000,19.0
23.4867,57.0467,57.046700000000001,1.100000000000000,23.486699999999999,5222,212202.0,2012/05/14 19:20:00.000,19.0
22.41,57.8433,57.843299999999999,2.800000000000000,22.410000000000000,5223,212213.0,2012/05/16 14:10:00.000,19.0
22.8833,57.7976,57.797600000000003,2.200000000000000,22.883299999999998,5224,212214.0,2012/05/16 17:30:00.000,21.0
22.6167,57.7333,57.733300000000000,2.800000000000000,22.616700000000002,5225,212215.0,2012/05/16 20:00:00.000,9.0
23.07,57.3967,57.396700000000003,2.500000000000000,23.070000000000000,5226,212218.0,2012/05/17 07:00:00.000,21.0
23.2373,57.3589,57.358899999999998,2.500000000000000,23.237300000000001,5227,212219.0,2012/05/17 08:40:00.000,21.0
23.4833,57.4,57.399999999999999,2.200000000000000,23.483300000000000,5228,212220.0,2012/05/17 10:20:00.000,19.0
23.6167,57.6167,57.616700000000002,2.600000000000000,23.616700000000002,5229,212221.0,2012/05/17 13:20:00.000,9.0
23.9167,57.85,57.850000000000001,2.200000000000000,23.916699999999999,5230,212222.0,2012/05/17 16:45:00.000,19.0
